------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/505           16714 ns        16714 ns        43204
InversionCount/506           17512 ns        17512 ns        40341
InversionCount/507           17464 ns        17464 ns        40731
InversionCount/508           17335 ns        17335 ns        39574
InversionCount/509           17454 ns        17454 ns        39849
InversionCount/510           17664 ns        17664 ns        39919
InversionCount/511           17552 ns        17552 ns        40324
InversionCount/512           17618 ns        17618 ns        39465
InversionCount/1024          34100 ns        34100 ns        20707
InversionCount/1536          53389 ns        53389 ns        13557
InversionCount/2048          67902 ns        67902 ns        10298
InversionCount/2560          91992 ns        91992 ns         7521
InversionCount/3072         103364 ns       103363 ns         6660
InversionCount/3584         127349 ns       127349 ns         5460
InversionCount/4096         143761 ns       143760 ns         4873
InversionCount/4608         175397 ns       175396 ns         4078
InversionCount/5120         185407 ns       185405 ns         3729
InversionCount/5632         207479 ns       207480 ns         3382
InversionCount/6144         219632 ns       219632 ns         3167
InversionCount/6656         248338 ns       248338 ns         2821
InversionCount/7168         260080 ns       260081 ns         2686
InversionCount/7680         277400 ns       277400 ns         2513
InversionCount/8192         295949 ns       295949 ns         2363
InversionCount/8704         327906 ns       327906 ns         2125
InversionCount/9216         344725 ns       344723 ns         2051
InversionCount/9728         374532 ns       374533 ns         1918
InversionCount/10240        383239 ns       383236 ns         1836
InversionCount/10752        408915 ns       408912 ns         1705
InversionCount/11264        425752 ns       425750 ns         1650
InversionCount/11776        444207 ns       444208 ns         1578
InversionCount/12288        449557 ns       449554 ns         1551
InversionCount/12800        486946 ns       486947 ns         1449
InversionCount/13312        512766 ns       512767 ns         1000
InversionCount/13824        513237 ns       513234 ns         1312
InversionCount/14336        532783 ns       532777 ns         1340
InversionCount/14848        563702 ns       563699 ns         1216
InversionCount/15360        575771 ns       575772 ns         1186
InversionCount/15872        588763 ns       588758 ns         1158
InversionCount/16384        594686 ns       594681 ns         1140
InversionCount/16896        649368 ns       649364 ns         1078
InversionCount/17408        671702 ns       671703 ns         1039
InversionCount/17920        698255 ns       698250 ns         1018
InversionCount/18432        721405 ns       721400 ns          952
InversionCount/18944        752307 ns       752302 ns          930
InversionCount/19456        752036 ns       752031 ns          936
InversionCount/19968        788406 ns       788407 ns          867
InversionCount/20480        783666 ns       783659 ns          881
InversionCount/20992        819083 ns       819073 ns          843
InversionCount/21504        840265 ns       840260 ns          821
InversionCount/22016        872156 ns       872148 ns          807
InversionCount/22528        864171 ns       864172 ns          804
InversionCount/23040        909527 ns       909521 ns          770
InversionCount/23552        915268 ns       915264 ns          759
InversionCount/24064        924170 ns       924171 ns          753
InversionCount/24576        911664 ns       911659 ns          765
InversionCount/25088        972729 ns       972730 ns          736
InversionCount/25600       1002913 ns      1002915 ns          684
InversionCount/26112       1021018 ns      1021019 ns          668
InversionCount/26624       1032465 ns      1032467 ns          670
InversionCount/27136       1057079 ns      1057081 ns          657
InversionCount/27648       1048161 ns      1048125 ns          661
InversionCount/28160       1089970 ns      1089972 ns          639
