------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/455           37831 ns        37831 ns        19005
InversionCount/456           36512 ns        36512 ns        20987
InversionCount/457           37126 ns        37126 ns        18947
InversionCount/458           36881 ns        36881 ns        18907
InversionCount/459           36894 ns        36894 ns        18655
InversionCount/460           37005 ns        37005 ns        18857
InversionCount/461           36432 ns        36432 ns        19116
InversionCount/462           36003 ns        36002 ns        18493
InversionCount/463           37931 ns        37931 ns        19019
InversionCount/464           37752 ns        37752 ns        18590
InversionCount/465           37965 ns        37965 ns        22132
InversionCount/466           37295 ns        37295 ns        18486
InversionCount/467           37726 ns        37726 ns        18683
InversionCount/468           38183 ns        38183 ns        18364
InversionCount/469           37926 ns        37926 ns        18247
InversionCount/470           38540 ns        38541 ns        18536
InversionCount/471           38244 ns        38245 ns        18210
InversionCount/472           38641 ns        38641 ns        17890
InversionCount/473           38586 ns        38587 ns        19801
InversionCount/474           38344 ns        38344 ns        18225
InversionCount/475           38302 ns        38304 ns        17827
InversionCount/476           37723 ns        37722 ns        18282
InversionCount/477           38773 ns        38772 ns        17624
InversionCount/478           38296 ns        38296 ns        17826
InversionCount/479           38524 ns        38524 ns        17758
InversionCount/480           39064 ns        39064 ns        17807
InversionCount/481           39546 ns        39546 ns        17841
InversionCount/482           39970 ns        39970 ns        17711
InversionCount/483           39792 ns        39792 ns        17481
InversionCount/484           39517 ns        39517 ns        17164
InversionCount/485           40028 ns        40028 ns        17436
InversionCount/486           40515 ns        40515 ns        17518
InversionCount/487           39603 ns        39603 ns        17253
InversionCount/488           40268 ns        40268 ns        17589
InversionCount/489           40216 ns        40216 ns        17093
InversionCount/490           40779 ns        40779 ns        17636
InversionCount/491           40954 ns        40954 ns        17169
InversionCount/492           40184 ns        40184 ns        17344
InversionCount/493           40886 ns        40886 ns        17369
InversionCount/494           40063 ns        40063 ns        17106
InversionCount/495           42160 ns        42161 ns        16939
InversionCount/496           41160 ns        41160 ns        16805
InversionCount/497           40402 ns        40402 ns        16726
InversionCount/498           41379 ns        41379 ns        16860
InversionCount/499           41158 ns        41158 ns        16899
InversionCount/500           41396 ns        41396 ns        17036
InversionCount/501           42053 ns        42053 ns        16591
InversionCount/502           40665 ns        40665 ns        16665
InversionCount/503           41508 ns        41508 ns        16277
InversionCount/504           39249 ns        39249 ns        16701
InversionCount/505           42499 ns        42499 ns        16408
InversionCount/506           41570 ns        41570 ns        16553
InversionCount/507           42234 ns        42234 ns        16694
InversionCount/508           43104 ns        43104 ns        16333
InversionCount/509           41902 ns        41902 ns        16352
InversionCount/510           42522 ns        42522 ns        16692
InversionCount/511           42812 ns        42812 ns        16558
InversionCount/512           42053 ns        42053 ns        16638
InversionCount/1024         103224 ns       103224 ns         6855
InversionCount/1536         166416 ns       166416 ns         4162
InversionCount/2048         234851 ns       234852 ns         2972
InversionCount/2560         307646 ns       307643 ns         2272
InversionCount/3072         382618 ns       382616 ns         1832
InversionCount/3584         460707 ns       460708 ns         1519
InversionCount/4096         534477 ns       534473 ns         1292
InversionCount/4608         618555 ns       618551 ns         1124
