------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/505           17798 ns        17798 ns        45583
InversionCount/506           17971 ns        17971 ns        37622
InversionCount/507           18383 ns        18383 ns        38158
InversionCount/508           18593 ns        18593 ns        41742
InversionCount/509           17722 ns        17722 ns        37819
InversionCount/510           18331 ns        18331 ns        36113
InversionCount/511           17776 ns        17776 ns        38138
InversionCount/512           19443 ns        19443 ns        36954
InversionCount/1024          52142 ns        52142 ns        13142
InversionCount/1536          82599 ns        82599 ns         8267
InversionCount/2048         118240 ns       118239 ns         5911
InversionCount/2560         153294 ns       153294 ns         4484
InversionCount/3072         184121 ns       184122 ns         3734
InversionCount/3584         221721 ns       221721 ns         3142
InversionCount/4096         257117 ns       257117 ns         2695
InversionCount/4608         307918 ns       307918 ns         2255
InversionCount/5120         360423 ns       360423 ns         1993
InversionCount/5632         402614 ns       402611 ns         1749
InversionCount/6144         429379 ns       429375 ns         1623
InversionCount/6656         480094 ns       480114 ns         1468
InversionCount/7168         521796 ns       521792 ns         1333
InversionCount/7680         564530 ns       564526 ns         1224
InversionCount/8192         621518 ns       621519 ns         1130
InversionCount/8704         656617 ns       656612 ns         1040
InversionCount/9216         708334 ns       708324 ns          997
InversionCount/9728         758882 ns       758876 ns          928
InversionCount/10240        798474 ns       798475 ns          872
InversionCount/10752        845958 ns       845959 ns          816
InversionCount/11264        888586 ns       888579 ns          789
InversionCount/11776        929991 ns       929985 ns          741
InversionCount/12288        942328 ns       942315 ns          726
InversionCount/12800       1012741 ns      1012742 ns          695
InversionCount/13312       1039952 ns      1039953 ns          658
InversionCount/13824       1104974 ns      1104966 ns          630
InversionCount/14336       1132693 ns      1132685 ns          618
InversionCount/14848       1179384 ns      1179376 ns          589
InversionCount/15360       1226178 ns      1226170 ns          571
InversionCount/15872       1260847 ns      1260849 ns          552
InversionCount/16384       1336293 ns      1336296 ns          523
InversionCount/16896       1388460 ns      1388449 ns          514
InversionCount/17408       1439984 ns      1439973 ns          491
InversionCount/17920       1475530 ns      1475519 ns          471
InversionCount/18432       1530086 ns      1530076 ns          458
InversionCount/18944       1580017 ns      1579997 ns          447
InversionCount/19456       1617761 ns      1617751 ns          429
InversionCount/19968       1660971 ns      1660974 ns          422
InversionCount/20480       1732214 ns      1732216 ns          403
InversionCount/20992       1791190 ns      1791176 ns          396
InversionCount/21504       1821162 ns      1821147 ns          381
InversionCount/22016       1889679 ns      1889665 ns          376
InversionCount/22528       1929891 ns      1929877 ns          361
InversionCount/23040       1992037 ns      1992022 ns          354
InversionCount/23552       2014477 ns      2014462 ns          347
InversionCount/24064       2065073 ns      2065058 ns          336
InversionCount/24576       2050234 ns      2050214 ns          341
InversionCount/25088       2102148 ns      2102132 ns          328
InversionCount/25600       2161884 ns      2161887 ns          323
InversionCount/26112       2225173 ns      2225176 ns          313
InversionCount/26624       2271454 ns      2271458 ns          309
InversionCount/27136       2344429 ns      2344433 ns          303
InversionCount/27648       2391653 ns      2391656 ns          296
InversionCount/28160       2444993 ns      2444997 ns          289
InversionCount/28672       2459432 ns      2459434 ns          288
InversionCount/29184       2495922 ns      2495926 ns          283
InversionCount/29696       2570540 ns      2570542 ns          274
InversionCount/30208       2594368 ns      2594346 ns          271
InversionCount/30720       2633242 ns      2633245 ns          268
InversionCount/31232       2661611 ns      2661589 ns          261
InversionCount/31744       2744696 ns      2744700 ns          255
InversionCount/32256       2798312 ns      2798315 ns          251
InversionCount/32768       2874747 ns      2874751 ns          247
InversionCount/33280       2889609 ns      2889610 ns          241
InversionCount/33792       2936581 ns      2936584 ns          233
InversionCount/34304       3029697 ns      3029702 ns          231
InversionCount/34816       3057574 ns      3057578 ns          227
InversionCount/35328       3076425 ns      3076428 ns          224
InversionCount/35840       3160211 ns      3160215 ns          219
InversionCount/36352       3220140 ns      3220118 ns          216
InversionCount/36864       3254862 ns      3254840 ns          213
InversionCount/37376       3356136 ns      3356108 ns          212
InversionCount/37888       3330981 ns      3330951 ns          206
InversionCount/38400       3424586 ns      3424559 ns          205
InversionCount/38912       3495563 ns      3495530 ns          201
InversionCount/39424       3526365 ns      3526336 ns          196
InversionCount/39936       3589862 ns      3589835 ns          194
InversionCount/40448       3649400 ns      3649405 ns          193
InversionCount/40960       3691315 ns      3691320 ns          188
InversionCount/41472       3754310 ns      3754313 ns          185
InversionCount/41984       3802215 ns      3802191 ns          183
InversionCount/42496       3857757 ns      3857690 ns          180
InversionCount/43008       3931524 ns      3931489 ns          181
InversionCount/43520       3935866 ns      3935829 ns          179
InversionCount/44032       3988310 ns      3988283 ns          173
