------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/447           37307 ns        37307 ns        19132
InversionCount/448           37085 ns        37085 ns        19332
InversionCount/449           37077 ns        37078 ns        19330
InversionCount/450           37528 ns        37529 ns        19475
InversionCount/451           37293 ns        37293 ns        19313
InversionCount/452           36848 ns        36848 ns        18250
InversionCount/453           38378 ns        38378 ns        19192
InversionCount/454           37278 ns        37278 ns        18730
InversionCount/455           36187 ns        36187 ns        18784
InversionCount/456           37850 ns        37850 ns        18515
InversionCount/457           38595 ns        38595 ns        18234
InversionCount/458           38549 ns        38549 ns        18067
InversionCount/459           38232 ns        38232 ns        18032
InversionCount/460           38077 ns        38077 ns        19187
InversionCount/461           38779 ns        38779 ns        18360
InversionCount/462           39603 ns        39603 ns        18570
InversionCount/463           38565 ns        38565 ns        17994
InversionCount/464           30039 ns        30039 ns        18129
InversionCount/465           39401 ns        39401 ns        18246
InversionCount/466           38657 ns        38657 ns        17998
InversionCount/467           31225 ns        31225 ns        17905
InversionCount/468           39090 ns        39090 ns        17769
InversionCount/469           38914 ns        38914 ns        17915
InversionCount/470           39365 ns        39365 ns        17883
InversionCount/471           39205 ns        39205 ns        17866
InversionCount/472           39839 ns        39839 ns        17832
InversionCount/473           36945 ns        36945 ns        17520
InversionCount/474           40084 ns        40084 ns        17676
InversionCount/475           39909 ns        39909 ns        17556
InversionCount/476           40163 ns        40163 ns        17102
InversionCount/477           40456 ns        40456 ns        17458
InversionCount/478           39790 ns        39790 ns        17132
InversionCount/479           40527 ns        40527 ns        17674
InversionCount/480           40742 ns        40742 ns        17041
InversionCount/481           40973 ns        40973 ns        17756
InversionCount/482           40296 ns        40296 ns        17924
InversionCount/483           41203 ns        41203 ns        17528
InversionCount/484           40930 ns        40930 ns        16764
InversionCount/485           41235 ns        41235 ns        17105
InversionCount/486           41414 ns        41414 ns        16973
InversionCount/487           41061 ns        41061 ns        17148
InversionCount/488           40644 ns        40644 ns        16954
InversionCount/489           42215 ns        42215 ns        16813
InversionCount/490           41598 ns        41598 ns        16769
InversionCount/491           41891 ns        41891 ns        16887
InversionCount/492           41867 ns        41867 ns        16610
InversionCount/493           41129 ns        41129 ns        17525
InversionCount/494           42340 ns        42341 ns        16740
InversionCount/495           41733 ns        41733 ns        16742
InversionCount/496           42440 ns        42440 ns        16779
InversionCount/497           42105 ns        42105 ns        16640
InversionCount/498           42613 ns        42613 ns        16713
InversionCount/499           40600 ns        40600 ns        20590
InversionCount/500           42600 ns        42601 ns        16113
InversionCount/501           43440 ns        43440 ns        16270
InversionCount/502           43314 ns        43314 ns        16013
InversionCount/503           42886 ns        42886 ns        16377
InversionCount/504           43286 ns        43287 ns        16440
InversionCount/505           41350 ns        41350 ns        16204
InversionCount/506           42767 ns        42767 ns        15956
InversionCount/507           42459 ns        42459 ns        15800
InversionCount/508           43259 ns        43259 ns        16134
InversionCount/509           42697 ns        42697 ns        16151
InversionCount/510           43508 ns        43508 ns        15704
InversionCount/511           43560 ns        43560 ns        15943
InversionCount/512           44017 ns        44017 ns        15842
InversionCount/1024         106199 ns       106199 ns         6576
InversionCount/1536         171254 ns       171252 ns         4088
InversionCount/2048         240659 ns       240657 ns         2911
InversionCount/2560         317641 ns       317637 ns         2201
InversionCount/3072         396319 ns       396316 ns         1795
InversionCount/3584         470785 ns       470786 ns         1473
InversionCount/4096         569725 ns       569721 ns         1244
InversionCount/4608         651914 ns       651908 ns         1057
InversionCount/5120         757567 ns       757562 ns          913
InversionCount/5632         857232 ns       857234 ns          819
InversionCount/6144         957600 ns       957601 ns          726
InversionCount/6656        1069534 ns      1069526 ns          656
InversionCount/7168        1180972 ns      1180964 ns          590
InversionCount/7680        1294705 ns      1294696 ns          534
InversionCount/8192        1413219 ns      1413209 ns          489
InversionCount/8704        1521787 ns      1521789 ns          452
InversionCount/9216        1658705 ns      1658708 ns          424
InversionCount/9728        1775772 ns      1775776 ns          395
InversionCount/10240       1893551 ns      1893539 ns          368
InversionCount/10752       2022034 ns      2022022 ns          346
InversionCount/11264       2144658 ns      2144647 ns          326
InversionCount/11776       2288255 ns      2288242 ns          307
InversionCount/12288       2411195 ns      2411167 ns          291
InversionCount/12800       2538067 ns      2538048 ns          275
InversionCount/13312       2662487 ns      2662467 ns          263
InversionCount/13824       2798532 ns      2798508 ns          250
InversionCount/14336       2931054 ns      2931036 ns          239
InversionCount/14848       3064382 ns      3064358 ns          229
InversionCount/15360       3209861 ns      3209836 ns          219
InversionCount/15872       3333031 ns      3333012 ns          210
InversionCount/16384       3476096 ns      3476103 ns          202
InversionCount/16896       3603607 ns      3603615 ns          194
InversionCount/17408       3744926 ns      3744932 ns          187
InversionCount/17920       3889927 ns      3889896 ns          180
InversionCount/18432       4026106 ns      4026077 ns          174
InversionCount/18944       4164198 ns      4164170 ns          168
InversionCount/19456       4306016 ns      4305989 ns          163
InversionCount/19968       4442811 ns      4442818 ns          158
InversionCount/20480       4578658 ns      4578620 ns          153
InversionCount/20992       4719697 ns      4719658 ns          149
InversionCount/21504       4855681 ns      4855648 ns          144
InversionCount/22016       5004655 ns      5004617 ns          139
InversionCount/22528       5154933 ns      5154946 ns          135
InversionCount/23040       5296547 ns      5296556 ns          131
InversionCount/23552       5471764 ns      5471712 ns          128
InversionCount/24064       5574185 ns      5574144 ns          124
InversionCount/24576       5714012 ns      5714023 ns          120
InversionCount/25088       5867218 ns      5867227 ns          119
InversionCount/25600       6012834 ns      6012792 ns          117
InversionCount/26112       6157045 ns      6156990 ns          113
InversionCount/26624       6330675 ns      6330623 ns          110
InversionCount/27136       6461477 ns      6461492 ns          106
InversionCount/27648       6624845 ns      6624797 ns          106
InversionCount/28160       6773258 ns      6773203 ns          103
InversionCount/28672       6903208 ns      6903095 ns          101
InversionCount/29184       7120178 ns      7120193 ns           98
InversionCount/29696       7226362 ns      7226369 ns           96
InversionCount/30208       7403421 ns      7403355 ns           95
InversionCount/30720       7503918 ns      7503869 ns           93
InversionCount/31232       7671288 ns      7671211 ns           90
InversionCount/31744       7817652 ns      7817651 ns           89
InversionCount/32256       8021148 ns      8021089 ns           86
InversionCount/32768       8114916 ns      8114840 ns           86
InversionCount/33280       8270670 ns      8270607 ns           82
InversionCount/33792       8413894 ns      8413912 ns           82
InversionCount/34304       8604605 ns      8604617 ns           81
InversionCount/34816       8740243 ns      8740165 ns           80
InversionCount/35328       8891382 ns      8891306 ns           78
InversionCount/35840       9055169 ns      9055109 ns           77
InversionCount/36352       9187489 ns      9187498 ns           76
InversionCount/36864       9345584 ns      9345596 ns           74
InversionCount/37376       9513710 ns      9513629 ns           73
InversionCount/37888       9662436 ns      9662355 ns           72
InversionCount/38400       9843359 ns      9843282 ns           71
InversionCount/38912       9973813 ns      9973826 ns           70
InversionCount/39424      10175172 ns     10175213 ns           69
InversionCount/39936      10299675 ns     10299580 ns           68
InversionCount/40448      10485755 ns     10485683 ns           66
InversionCount/40960      10604864 ns     10604773 ns           66
InversionCount/41472      10772064 ns     10771968 ns           64
InversionCount/41984      10921584 ns     10921634 ns           64
InversionCount/42496      11105481 ns     11105496 ns           62
InversionCount/43008      11282027 ns     11281934 ns           62
