------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/448            5216 ns         5216 ns       100000
InversionCount/449            5097 ns         5097 ns       100000
InversionCount/450            4882 ns         4882 ns       144912
InversionCount/451            5029 ns         5029 ns       138215
InversionCount/452            5043 ns         5043 ns       100000
InversionCount/453            5193 ns         5193 ns       135246
InversionCount/454            5166 ns         5166 ns       100000
InversionCount/455            4665 ns         4665 ns       149158
InversionCount/456            4801 ns         4801 ns       139289
InversionCount/457            5228 ns         5228 ns       131698
InversionCount/458            5059 ns         5059 ns       145255
InversionCount/459            4666 ns         4666 ns       156835
InversionCount/460            5105 ns         5105 ns       136484
InversionCount/461            4798 ns         4798 ns       147440
InversionCount/462            4066 ns         4066 ns       171715
InversionCount/463            4702 ns         4702 ns       156331
InversionCount/464            4837 ns         4837 ns       148508
InversionCount/465            5352 ns         5352 ns       100000
InversionCount/466            5144 ns         5144 ns       100000
InversionCount/467            5178 ns         5178 ns       141506
InversionCount/468            5389 ns         5389 ns       138608
InversionCount/469            5190 ns         5190 ns       100000
InversionCount/470            5427 ns         5427 ns       127772
InversionCount/471            5247 ns         5247 ns       129844
InversionCount/472            5461 ns         5461 ns       100000
InversionCount/473            5521 ns         5521 ns       100000
InversionCount/474            5085 ns         5085 ns       100000
InversionCount/475            5469 ns         5469 ns       100000
InversionCount/476            4200 ns         4200 ns       165923
InversionCount/477            4948 ns         4948 ns       143488
InversionCount/478            5128 ns         5128 ns       131525
InversionCount/479            5194 ns         5194 ns       129072
InversionCount/480            5471 ns         5471 ns       136906
InversionCount/481            5167 ns         5167 ns       100000
InversionCount/482            5578 ns         5578 ns       135771
InversionCount/483            5452 ns         5452 ns       137323
InversionCount/484            5446 ns         5446 ns       127545
InversionCount/485            5681 ns         5681 ns       134830
InversionCount/486            5417 ns         5417 ns       128878
InversionCount/487            5486 ns         5486 ns       118304
InversionCount/488            5563 ns         5563 ns       123308
InversionCount/489            5556 ns         5556 ns       100000
InversionCount/490            5549 ns         5549 ns       127842
